SSM_index	CNA_index
0	3
0	6
0	16
0	37
1	2
1	24
1	36
2	2
2	24
2	36
3	21
3	29
3	39
4	35
5	10
5	22
6	13
8	5
8	11
8	14
8	15
8	19
8	27
9	3
9	6
9	16
9	37
10	3
10	6
10	16
10	37
11	33
11	38
12	24
12	36
13	2
13	24
13	36
14	20
14	30
15	20
15	30
16	21
16	29
16	39
17	8
18	35
19	35
20	4
20	9
20	26
21	4
21	9
21	26
22	10
22	22
23	13
25	5
25	11
25	14
25	15
25	19
25	27
26	33
26	38
27	24
27	36
28	24
28	36
29	20
29	30
30	7
30	32
31	7
31	32
32	7
32	32
33	21
33	29
33	39
34	21
34	29
34	39
35	35
37	10
37	22
39	13
45	12
46	12
47	7
48	7
54	9
56	10
57	10
58	10
67	14
67	15
67	19
67	27
68	16
68	37
69	16
69	37
70	16
70	37
71	16
71	37
72	33
72	38
73	24
73	36
74	24
74	36
75	20
75	30
76	17
76	25
76	28
76	31
76	34
77	17
77	25
77	28
77	31
77	34
78	17
78	25
78	28
78	31
78	34
79	17
79	25
79	28
79	31
79	34
80	21
80	29
80	39
81	21
81	29
81	39
82	21
82	29
82	39
84	35
85	35
86	35
88	18
89	18
90	22
91	22
96	19
96	27
97	16
97	37
98	33
98	38
99	23
100	24
100	36
101	24
101	36
102	24
102	36
103	24
103	36
104	17
104	25
104	28
104	31
104	34
105	21
105	29
105	39
106	21
106	29
106	39
109	22
110	22
112	21
112	29
112	39
117	19
117	27
118	25
118	28
118	31
118	34
120	26
122	19
122	27
123	27
124	37
125	23
126	24
126	36
127	24
127	36
128	30
129	25
129	28
129	31
129	34
130	32
131	29
131	39
132	21
132	29
132	39
136	22
143	36
144	36
145	30
146	29
146	39
147	29
147	39
154	27
160	33
160	38
161	33
161	38
162	33
162	38
163	36
164	36
166	39
167	39
168	39
176	38
182	37
183	38
184	38
