SSM_index	seg_index	subclone_ID
0	1	1
1	8	1
2	9	1
3	10	1
4	18	1
5	4	2
6	5	3
7	8	3
8	11	4
9	0	4
10	1	4
11	1	4
12	3	4
13	13	4
14	2	5
15	3	5
16	7	5
17	8	5
18	8	5
19	8	5
20	10	5
21	10	5
22	13	5
23	14	5
24	16	5
25	18	5
26	19	5
27	0	5
28	2	5
29	3	5
30	4	5
31	5	5
32	5	5
33	7	5
34	8	5
35	9	5
36	11	5
37	11	5
38	14	5
39	14	5
40	17	5
41	18	5
42	19	5
43	19	5
44	19	5
45	2	6
46	5	6
47	9	6
48	10	6
49	13	6
50	15	6
51	15	6
52	18	6
53	4	6
54	5	6
55	8	6
56	9	6
57	12	6
58	13	6
59	18	6
60	3	7
61	8	7
62	9	7
63	9	7
64	9	7
65	11	7
66	18	7
67	19	7
68	2	7
69	8	7
70	11	7
71	14	7
72	15	7
73	18	7
74	18	7
75	19	7
76	4	8
77	7	8
78	2	8
79	4	8
80	7	9
81	14	9
82	3	9
83	8	9
84	18	9
85	11	10
86	12	10
87	14	10
88	1	10
89	8	10
90	8	10
91	10	10
92	11	10
93	11	10
94	11	10
95	12	10
96	12	10
97	14	10
98	14	10
99	19	10
100	4	11
101	5	11
102	7	11
103	15	11
104	18	11
105	19	11
106	0	11
107	0	11
108	5	11
109	8	11
110	10	11
111	11	11
112	13	11
113	14	11
114	15	11
115	16	11
116	18	11
117	8	12
118	8	12
119	10	12
120	12	12
121	14	12
122	18	12
123	18	12
124	18	12
125	2	12
126	6	12
127	7	12
128	15	12
129	19	12
130	0	13
131	2	13
132	2	13
133	2	13
134	7	13
135	8	13
136	8	13
137	9	13
138	16	13
139	18	13
140	1	13
141	1	13
142	2	13
143	3	13
144	4	13
145	4	13
146	4	13
147	5	13
148	6	13
149	7	13
150	8	13
151	8	13
152	9	13
153	12	13
154	12	13
155	13	13
156	18	13
157	18	13
158	4	14
159	4	14
160	6	14
161	8	14
162	17	14
163	6	14
164	6	14
165	9	14
166	9	14
167	12	14
168	13	14
169	13	14
170	13	14
171	17	14
172	18	14
173	18	14
174	19	14
175	19	14
176	19	14
177	10	15
178	12	15
179	7	16
180	9	16
181	16	16
182	17	16
183	16	16
184	19	16
185	17	17
186	18	17
187	3	17
188	3	17
189	5	17
190	10	17
191	13	17
192	15	18
193	2	18
194	9	18
195	7	19
196	14	19
197	15	19
198	15	19
199	19	20
