CNA_index	seg_index	subclone_ID	phase	change
0	11	1	A	-1
1	16	1	B	1
2	18	1	B	-1
3	36	2	B	-1
4	22	3	A	-1
5	26	3	A	2
6	39	3	A	-1
7	8	3	B	1
8	15	3	B	-1
9	25	3	B	1
10	28	4	A	-1
11	22	5	B	1
12	35	6	A	1
13	38	6	B	1
14	23	9	A	1
15	2	9	B	-1
16	5	9	B	1
17	23	9	B	2
18	36	9	B	-1
19	15	10	A	1
20	8	10	B	3
21	35	10	B	1
22	23	11	A	1
23	16	13	A	-1
24	5	13	B	1
25	20	15	B	1
26	12	16	A	-1
27	12	16	B	-1
28	31	16	B	1
29	39	16	B	-1
30	21	17	B	-1
31	26	17	B	-1
32	11	18	A	-1
33	28	18	B	1
34	9	19	A	2
35	36	19	A	-1
36	37	20	A	1
37	5	20	B	1
38	28	20	B	2
39	34	20	B	-1
