SSM_index	seg_index	subclone_ID
0	2	1
1	4	1
2	9	1
3	12	1
4	5	2
5	9	2
6	9	2
7	11	2
8	3	2
9	4	2
10	6	2
11	12	2
12	12	2
13	4	3
14	4	3
15	9	3
16	14	3
17	17	3
18	4	3
19	5	3
20	1	4
21	5	4
22	7	4
23	8	4
24	9	4
25	11	4
26	14	4
27	4	4
28	4	4
29	5	4
30	5	4
31	9	4
32	9	4
33	9	4
34	4	5
35	4	5
36	5	5
37	9	5
38	12	5
39	12	5
40	9	6
41	17	6
42	8	6
43	4	7
44	4	7
45	9	7
46	1	8
47	2	8
48	2	8
49	4	8
50	5	8
51	5	8
52	9	8
53	14	8
54	14	8
55	14	8
56	15	8
57	16	8
58	17	8
59	18	8
60	0	8
61	1	8
62	2	8
63	3	8
64	3	8
65	4	8
66	4	8
67	5	8
68	6	8
69	7	8
70	9	8
71	9	8
72	10	8
73	11	8
74	15	8
75	17	8
76	18	8
77	4	9
78	7	9
79	8	9
80	11	9
81	4	10
82	11	10
83	4	11
84	3	12
85	4	12
86	5	12
87	5	12
88	8	12
89	15	12
90	15	12
91	17	12
92	3	12
93	5	12
94	10	12
95	11	12
96	15	12
97	15	12
98	19	12
99	5	13
100	9	13
101	4	13
102	10	13
103	10	13
104	12	13
105	11	14
106	2	15
107	4	15
108	4	15
109	4	15
110	8	15
111	8	15
112	8	15
113	2	16
114	4	16
115	4	16
116	4	16
117	4	16
118	4	16
119	5	16
120	7	16
121	7	16
122	9	16
123	10	16
124	11	16
125	11	16
126	11	16
127	16	16
128	17	16
129	18	16
130	18	16
131	0	16
132	1	16
133	2	16
134	4	16
135	4	16
136	4	16
137	5	16
138	5	16
139	5	16
140	6	16
141	11	16
142	12	16
143	12	16
144	12	16
145	4	17
146	9	17
147	15	17
148	1	17
149	8	17
150	8	17
151	9	17
152	9	17
153	13	17
154	14	17
155	14	17
156	17	17
157	9	18
158	8	18
159	9	18
160	10	18
161	14	18
162	0	19
163	4	19
164	4	19
165	8	19
166	11	19
167	11	19
168	13	19
169	15	19
170	15	19
171	16	19
172	3	19
173	3	19
174	4	19
175	4	19
176	4	19
177	4	19
178	4	19
179	5	19
180	5	19
181	5	19
182	9	19
183	9	19
184	14	19
185	18	19
186	0	20
187	2	20
188	5	20
189	12	20
190	16	20
191	18	20
192	4	20
193	4	20
194	4	20
195	4	20
196	12	20
197	15	20
198	16	20
199	18	20
