SSM_index	CNA_index
8	16
8	29
8	37
9	12
10	12
11	27
12	17
13	22
13	23
13	38
14	13
15	13
18	24
20	10
20	39
22	20
23	20
24	16
24	29
24	37
25	30
26	17
28	22
28	23
28	38
29	24
30	24
31	14
32	14
33	18
34	39
35	33
36	28
39	20
40	20
41	26
42	26
43	21
45	16
45	29
45	37
48	20
49	36
50	32
51	18
52	39
53	30
56	18
57	30
58	27
64	39
65	39
66	33
67	33
70	35
72	29
72	37
73	29
73	37
74	30
77	32
79	22
79	23
79	38
82	24
86	39
87	25
89	35
91	36
97	29
97	37
98	30
100	34
103	32
106	39
108	31
111	26
112	26
119	31
120	33
124	32
128	39
132	35
133	35
134	36
138	30
143	32
146	38
147	38
152	39
153	39
154	39
160	35
163	36
164	36
175	34
179	39
190	38
193	39
194	39
