CNA_index	seg_index	subclone_ID	phase	change
0	4	1	B	1
1	16	1	B	-1
2	15	2	A	-1
3	4	2	B	1
4	19	3	B	-1
5	7	5	B	1
6	2	6	B	1
7	4	6	B	1
8	18	6	B	-1
9	8	7	B	-1
10	1	8	A	1
11	11	8	A	1
12	17	8	B	-1
13	0	9	B	2
14	4	10	B	1
15	12	12	B	1
16	17	12	B	-1
17	5	13	B	1
18	14	14	A	2
19	16	14	A	-1
20	4	14	B	3
21	4	15	B	2
22	0	16	A	1
23	4	16	A	-1
24	5	16	A	1
25	9	16	A	-1
26	0	16	B	1
27	1	16	B	1
28	5	16	B	1
29	6	16	B	-1
30	12	17	B	2
31	6	18	A	1
32	17	18	A	-1
33	2	18	B	1
34	6	18	B	-1
35	2	19	A	-1
36	11	19	B	1
37	5	20	A	1
38	7	20	A	-1
39	4	20	B	1
