SSM_index	CNA_index
0	18
4	20
4	24
5	15
6	15
7	38
8	39
9	39
10	16
17	0
19	17
20	17
21	35
22	3
22	10
22	26
22	31
22	36
23	11
23	28
24	4
25	9
26	6
27	6
28	12
28	29
29	7
29	27
32	12
32	29
33	34
35	11
36	8
37	8
38	33
41	32
42	32
43	10
43	31
43	36
44	10
44	31
44	36
48	11
49	37
50	37
51	37
55	12
56	12
57	13
58	13
59	34
60	10
60	31
60	36
62	12
64	35
65	10
65	31
65	36
68	11
69	33
70	33
71	33
72	37
73	37
78	12
79	32
80	32
81	35
82	35
83	31
83	36
84	31
84	36
90	33
91	37
97	13
98	34
105	39
109	38
110	38
119	24
131	26
143	35
144	35
145	35
146	31
146	36
147	31
147	36
153	33
162	36
163	36
169	36
170	36
