SSM_index	CNA_index
2	0
18	34
19	34
20	19
20	20
20	36
21	3
21	6
21	15
21	21
22	6
22	15
22	21
23	9
24	31
24	33
25	17
26	17
30	32
31	32
32	32
33	35
33	38
34	7
34	8
34	23
34	39
35	34
36	6
36	15
36	21
37	6
37	15
37	21
38	28
43	6
52	7
58	6
70	10
71	11
71	14
71	18
71	24
71	26
71	29
72	9
73	9
74	9
75	31
75	33
76	31
76	33
77	31
77	33
79	25
79	37
80	13
81	17
82	28
83	28
85	35
85	38
86	23
86	39
87	28
88	35
90	17
92	19
95	15
97	19
99	25
100	26
100	29
101	26
101	29
102	34
103	34
110	31
110	33
111	31
111	33
114	25
115	30
116	27
123	31
123	33
124	31
124	33
128	29
133	30
142	34
184	35
