CNA_index	seg_index	subclone_ID	phase	change
0	3	1	B	1
1	3	2	B	1
2	6	3	B	-1
3	6	4	A	-1
4	7	5	A	1
5	9	5	A	1
6	1	5	B	1
7	7	6	B	1
8	2	8	B	1
9	8	8	B	-1
10	9	8	B	2
11	3	9	A	1
12	4	9	A	-1
13	7	9	A	3
14	7	9	B	1
15	9	9	B	2
16	3	10	A	3
17	9	11	A	1
18	6	11	B	-1
19	9	11	B	2
20	2	12	A	-1
21	5	12	B	1
22	2	13	B	1
23	1	14	B	1
24	3	14	B	1
25	7	14	B	1
26	9	14	B	1
27	3	15	A	2
28	2	15	B	2
29	3	15	B	2
30	7	15	B	2
31	3	16	A	1
32	4	16	A	-1
33	2	16	B	2
34	6	16	B	-1
35	0	17	B	1
36	9	18	B	1
37	7	19	B	1
38	3	20	B	1
39	4	20	B	-1
