CNA_index	seg_index	subclone_ID	phase	change
0	10	1	B	1
1	3	4	A	-1
2	7	5	A	1
3	5	8	A	-1
4	12	8	A	2
5	14	8	A	-1
6	1	9	A	1
7	4	9	A	1
8	6	9	A	-1
9	12	9	A	1
10	9	9	B	2
11	1	10	A	1
12	18	10	A	-1
13	7	10	B	-1
14	9	10	B	1
15	12	11	A	1
16	15	11	B	2
17	0	13	A	-1
18	3	13	B	-1
19	4	13	B	1
20	9	14	A	-1
21	10	14	A	2
22	11	14	A	-1
23	0	14	B	1
24	5	14	B	-1
25	13	14	B	-1
26	9	15	A	-1
27	11	15	A	-1
28	13	15	A	-1
29	6	16	A	-1
30	14	16	B	1
31	2	17	A	2
32	9	17	B	1
33	9	18	A	-1
34	12	18	A	1
35	3	18	B	-1
36	15	19	A	-1
37	2	19	B	-1
38	6	19	B	-1
39	12	19	B	-1
