CNA_index	seg_index	subclone_ID	phase	change
0	0	3	A	-1
1	4	3	A	1
2	6	3	A	-1
3	2	3	B	-1
4	5	3	B	-1
5	6	3	B	-1
6	8	3	B	1
7	8	4	B	1
8	8	5	A	-1
9	0	5	B	-1
10	1	5	B	-1
11	8	5	B	1
12	5	6	A	-1
13	9	6	B	-1
14	9	7	A	-1
15	2	8	A	-1
16	3	8	B	-1
17	1	9	A	-1
18	5	9	A	-1
19	7	9	A	-1
20	0	10	A	-1
21	4	10	A	1
22	6	10	A	-1
23	1	10	B	-1
24	0	11	B	-1
25	5	11	B	-1
26	6	11	B	-1
27	8	11	B	2
28	8	12	A	-1
29	9	12	A	-1
30	2	12	B	-1
31	9	12	B	-1
32	3	13	B	-1
33	4	13	B	-1
34	3	15	B	-1
35	1	16	A	-1
36	2	16	A	-1
37	8	16	B	1
38	4	19	B	-1
39	7	20	B	-1
