SSM_index	CNA_index
0	31
1	4
2	32
3	32
4	8
4	13
4	33
5	19
6	19
7	21
8	21
9	21
10	21
11	15
12	30
12	38
13	30
13	38
14	30
14	38
15	30
15	38
16	30
16	38
17	39
18	39
19	2
19	36
20	2
20	36
21	2
21	36
22	20
22	23
22	25
22	37
23	20
23	23
23	25
23	37
24	20
24	23
24	25
24	37
25	20
25	23
25	25
25	37
26	7
26	16
26	18
27	7
27	16
27	18
28	12
28	29
31	4
32	8
32	13
32	33
33	8
33	13
33	33
34	6
34	9
34	11
34	27
34	34
35	14
35	24
36	30
36	38
37	30
37	38
38	12
38	29
50	30
50	38
51	30
51	38
52	36
60	13
61	13
62	19
63	19
73	20
74	20
75	20
76	20
77	16
77	18
78	17
83	13
84	13
85	13
86	19
88	14
89	15
90	15
91	15
101	16
101	18
102	17
103	17
104	17
105	17
109	19
111	16
111	18
128	18
129	18
146	19
149	27
149	34
150	30
150	38
151	30
151	38
157	39
158	28
158	35
163	26
165	30
165	38
166	30
166	38
167	39
168	28
168	35
169	36
170	32
171	33
172	33
173	33
175	27
175	34
178	30
178	38
179	30
179	38
180	30
180	38
181	36
184	30
184	38
185	35
186	36
191	35
192	36
193	36
