CNA_index	seg_index	subclone_ID	phase	change
0	11	1	A	-1
1	35	1	A	-1
2	19	2	A	-1
3	31	2	A	-1
4	27	2	B	-1
5	23	3	A	-1
6	10	4	A	-1
7	6	5	A	1
8	13	6	A	1
9	6	7	A	1
10	4	8	A	-1
11	9	8	A	-1
12	28	8	A	-1
13	29	8	A	-1
14	11	8	B	-1
15	23	9	A	-1
16	32	9	A	1
17	25	9	B	-1
18	33	10	A	-1
19	15	10	B	-1
20	26	11	A	-1
21	24	11	B	-1
22	20	13	A	-1
23	22	13	A	1
24	38	13	A	-1
25	2	13	B	-1
26	27	15	A	-1
27	32	15	B	1
28	24	16	A	-1
29	1	17	B	-1
30	25	17	B	-1
31	9	19	A	-1
32	22	19	A	1
33	24	19	A	-1
34	33	19	A	-1
35	22	19	B	-1
36	26	19	B	1
37	27	19	B	-1
38	25	20	A	2
39	30	20	B	-1
