CNA_index	seg_index	subclone_ID	phase	change
0	0	1	B	1
1	32	4	A	1
2	6	4	B	-1
3	29	4	B	-1
4	34	4	B	-1
5	37	5	B	-1
6	3	7	A	-1
7	11	7	A	1
8	30	7	B	-1
9	26	8	A	1
10	7	8	B	1
11	19	9	B	1
12	0	10	A	2
13	10	10	B	1
14	23	10	B	2
15	28	10	B	1
16	28	11	B	1
17	35	11	B	-1
18	11	12	A	2
19	4	12	B	-1
20	7	12	B	1
21	27	13	A	-1
22	2	14	B	2
23	5	14	B	-1
24	16	14	B	1
25	27	14	B	1
26	29	14	B	-1
27	16	15	B	2
28	6	16	B	-1
29	26	16	B	2
30	14	17	A	-1
31	5	17	B	-1
32	17	17	B	3
33	26	17	B	3
34	8	20	A	1
35	10	20	A	1
36	38	20	A	-1
37	0	20	B	1
38	17	20	B	1
39	36	20	B	-1
