CNA_index	seg_index	subclone_ID	phase	change
0	8	1	B	-1
1	9	3	B	-1
2	0	4	A	1
3	3	4	A	-1
4	4	4	A	1
5	4	5	A	1
6	8	5	A	-1
7	4	6	A	1
8	0	8	A	1
9	2	8	A	2
10	4	8	A	1
11	6	8	A	2
12	5	8	B	-1
13	7	8	B	-1
14	0	9	A	1
15	2	9	A	1
16	4	9	A	1
17	7	9	A	-1
18	0	10	A	2
19	3	10	A	-1
20	2	11	A	2
21	7	11	A	-1
22	9	11	A	-1
23	9	11	B	-1
24	0	13	A	1
25	6	13	A	1
26	2	15	A	2
27	4	15	A	1
28	4	16	A	1
29	9	16	A	-1
30	2	17	A	1
31	6	17	A	2
32	3	18	B	-1
33	1	19	A	-1
34	6	19	A	1
35	6	19	B	1
36	2	20	A	1
37	4	20	A	1
38	5	20	A	-1
39	6	20	B	1
