SSM_index	CNA_index
1	15
1	24
1	35
2	15
2	24
2	35
3	9
3	18
3	27
3	31
4	9
4	18
4	27
4	31
5	9
5	18
5	27
5	31
6	19
7	20
8	21
8	28
8	37
9	21
9	28
9	37
10	6
10	22
10	25
11	12
11	32
11	39
12	12
12	32
12	39
13	12
13	32
13	39
14	16
14	29
14	33
15	23
16	14
17	15
17	24
17	35
18	15
18	24
18	35
19	15
19	24
19	35
20	9
20	18
20	27
20	31
24	11
25	19
26	19
27	19
28	8
28	10
28	38
29	20
31	22
31	25
32	12
32	32
32	39
33	12
33	32
33	39
34	16
34	29
34	33
35	16
35	29
35	33
36	16
36	29
36	33
37	16
37	29
37	33
38	16
38	29
38	33
39	16
39	29
39	33
40	23
41	14
42	10
42	38
43	16
43	29
43	33
44	9
44	18
44	31
45	9
45	18
45	31
48	19
49	10
49	38
52	22
53	12
53	32
53	39
54	16
54	33
55	16
55	33
56	16
56	33
57	16
57	33
58	36
59	23
60	18
60	31
61	19
62	12
62	32
62	39
63	16
63	33
64	16
64	33
65	16
65	33
66	14
67	15
67	35
68	38
69	20
72	22
73	22
74	16
74	33
75	16
75	33
76	20
77	21
77	37
78	36
79	17
82	20
85	21
86	21
87	23
88	23
90	20
91	20
94	21
95	21
99	23
115	23
119	26
128	28
129	25
132	29
133	29
134	29
135	29
137	35
138	35
143	37
145	32
145	39
146	33
147	33
148	33
155	37
156	38
157	38
164	37
165	37
166	37
168	39
169	39
179	39
180	39
184	39
