SSM_index	CNA_index
0	13
1	14
1	30
2	2
2	10
2	31
2	35
3	3
4	21
5	21
7	0
7	5
7	9
7	11
7	16
7	23
7	25
7	32
7	37
7	38
8	19
8	29
8	39
9	19
9	29
9	39
11	17
11	26
11	34
13	13
14	3
15	5
15	9
15	11
15	16
15	23
15	25
15	32
15	37
15	38
19	17
19	34
21	13
22	14
22	30
23	14
23	30
24	14
24	30
25	2
25	10
25	31
25	35
26	2
26	10
26	31
26	35
27	6
27	15
27	36
28	6
28	15
28	36
29	7
30	7
31	7
32	7
33	7
34	8
35	28
36	28
37	28
38	29
38	39
39	29
39	39
40	29
40	39
41	29
41	39
42	29
42	39
44	12
44	33
45	12
45	33
46	12
46	33
49	17
49	34
50	14
50	30
51	14
51	30
52	14
52	30
53	10
53	31
53	35
63	27
64	27
65	28
66	9
66	11
66	16
66	32
66	37
66	38
67	9
67	11
67	16
67	32
67	37
67	38
68	29
68	39
70	14
70	30
71	11
71	16
71	32
71	37
71	38
89	27
90	27
91	27
92	28
93	28
94	28
95	16
96	29
97	29
98	29
99	29
104	27
105	27
106	27
107	27
108	28
110	29
111	29
117	19
120	23
120	25
127	24
132	26
151	34
154	32
154	37
154	38
155	39
162	35
163	36
164	36
165	36
174	37
174	38
175	37
175	38
176	37
176	38
177	39
178	39
179	39
180	39
187	38
188	38
189	39
