CNA_index	seg_index	subclone_ID	phase	change
0	5	1	B	1
1	6	1	B	-1
2	6	2	B	-1
3	2	3	A	2
4	8	3	A	-1
5	1	3	B	-1
6	4	3	B	-1
7	3	5	A	2
8	6	5	A	-1
9	2	5	B	-1
10	2	7	A	1
11	5	8	A	-1
12	5	8	B	1
13	8	8	B	1
14	3	9	A	1
15	5	9	A	-1
16	8	9	A	-1
17	9	9	B	-1
18	0	10	A	-1
19	1	10	A	-1
20	4	10	A	2
21	9	10	A	-1
22	8	10	B	1
23	8	11	B	1
24	4	12	A	1
25	8	12	B	1
26	2	14	A	3
27	3	14	A	1
28	5	14	A	-1
29	5	15	B	1
30	0	16	A	-1
31	2	17	A	1
32	7	17	B	-1
33	7	18	A	-1
34	9	18	B	-1
35	1	19	A	-1
36	2	19	A	2
37	9	19	A	-1
38	6	20	A	-1
39	7	20	A	-1
