CNA_index	seg_index	subclone_ID	phase	change
0	2	1	A	-1
1	8	1	A	1
2	19	1	A	1
3	8	1	B	-1
4	10	1	B	-1
5	11	1	B	1
6	15	1	B	-1
7	27	1	B	1
8	37	1	B	1
9	8	2	A	1
10	4	2	B	-1
11	7	5	B	-1
12	22	5	B	1
13	20	6	A	-1
14	0	7	B	-1
15	36	7	B	2
16	10	8	A	-1
17	17	8	B	-1
18	21	9	B	-1
19	24	11	B	1
20	2	12	B	-1
21	11	13	B	1
22	20	14	A	-1
23	29	14	A	1
24	17	14	B	-1
25	18	14	B	-1
26	30	14	B	-1
27	35	14	B	-1
28	34	15	A	1
29	1	15	B	-1
30	27	16	B	2
31	28	16	B	-1
32	9	17	A	-1
33	0	17	B	-1
34	11	17	B	2
35	31	18	A	1
36	27	18	B	1
37	7	19	B	-1
38	36	20	A	1
39	36	20	B	2
