SSM_index	CNA_index
0	6
0	16
1	19
2	4
2	7
2	37
3	4
3	7
3	37
4	2
4	4
4	7
4	37
5	3
9	9
10	11
10	18
10	21
11	20
12	12
13	12
15	6
15	16
16	6
16	16
18	19
19	4
19	7
19	37
20	7
20	37
21	4
21	7
21	37
22	8
23	8
24	38
26	9
27	17
27	39
28	11
28	18
28	21
29	11
29	18
29	21
30	20
31	10
32	12
33	12
36	6
38	6
39	7
56	37
57	37
61	18
98	29
98	36
100	27
102	28
103	30
104	30
108	33
109	33
110	33
111	25
111	34
112	26
113	29
113	36
114	35
118	27
121	28
122	28
123	28
124	28
125	29
125	36
127	35
128	35
130	31
131	25
131	34
137	30
138	30
139	30
140	31
141	31
143	34
147	35
148	35
149	35
153	30
154	32
156	33
158	35
165	32
166	31
173	34
174	34
175	36
196	36
