CNA_index	seg_index	subclone_ID	phase	change
0	35	3	A	1
1	14	4	A	1
2	7	4	B	-1
3	14	4	B	1
4	21	4	B	1
5	35	5	A	3
6	1	6	A	-1
7	35	6	A	2
8	19	6	B	2
9	21	6	B	2
10	14	7	B	1
11	33	7	B	2
12	25	9	B	1
13	17	10	B	1
14	7	13	A	4
15	16	13	A	-1
16	19	13	A	1
17	25	13	A	-1
18	25	13	B	1
19	19	14	B	3
20	4	15	A	-1
21	2	15	B	2
22	4	15	B	1
23	21	15	B	3
24	16	16	A	-1
25	29	16	A	1
26	12	16	B	1
27	11	17	A	1
28	16	17	B	1
29	26	18	A	-1
30	26	18	B	1
31	30	18	B	-1
32	13	19	A	1
33	19	19	B	1
34	39	19	B	-1
35	7	20	A	1
36	14	20	A	1
37	16	20	A	-1
38	29	20	A	1
39	17	20	B	1
