SSM_index	CNA_index
0	8
1	17
1	28
2	9
2	22
3	16
4	18
5	5
6	5
7	6
9	12
10	12
11	12
12	12
13	7
14	8
21	4
24	12
34	23
35	23
36	23
37	26
38	26
39	26
40	26
41	24
48	17
48	28
49	17
49	28
50	17
50	28
51	17
51	28
52	17
52	28
53	17
53	28
54	22
55	16
56	16
57	19
58	29
65	20
66	20
67	20
68	20
69	20
70	27
70	30
71	21
72	21
73	26
74	26
75	26
76	18
77	23
80	23
82	28
83	28
84	23
85	23
86	26
88	28
90	27
90	30
91	23
92	23
93	23
94	23
95	25
96	26
97	26
98	26
99	26
100	26
101	26
102	24
104	28
105	28
106	28
107	29
108	29
113	23
114	23
115	23
116	23
117	23
118	23
119	23
120	26
121	26
122	26
124	28
128	25
129	26
130	26
131	26
132	26
133	26
134	26
138	28
139	28
140	28
141	28
144	29
148	29
160	32
161	32
162	32
163	35
166	36
170	37
171	37
175	31
176	31
177	31
183	34
184	32
185	35
191	35
193	37
194	37
197	39
