SSM_index	CNA_index
0	7
0	15
1	0
1	9
1	19
2	0
2	9
2	19
3	13
3	18
5	0
5	9
5	19
7	4
8	16
9	3
9	17
10	9
10	19
11	10
12	14
13	5
14	7
14	15
15	7
15	15
18	9
18	19
20	14
21	2
21	6
21	12
22	2
22	6
22	12
23	13
23	18
24	13
24	18
25	7
26	7
29	9
29	19
30	9
30	19
31	9
31	19
32	10
35	5
37	7
40	3
41	9
41	19
42	9
42	19
46	5
50	7
52	4
56	8
57	9
57	19
58	9
58	19
59	9
59	19
60	9
60	19
61	10
68	2
68	6
71	5
72	5
79	7
80	7
84	9
84	19
86	6
91	7
92	7
93	7
94	7
95	7
101	8
102	9
102	19
103	9
103	19
104	9
104	19
105	9
105	19
106	10
107	10
108	10
109	10
110	10
116	6
117	6
118	6
126	19
137	15
151	13
151	18
156	15
160	17
161	17
168	18
169	18
