CNA_index	seg_index	subclone_ID	phase	change
0	4	1	A	1
1	6	2	A	1
2	16	3	A	1
3	0	3	B	-1
4	12	4	A	-1
5	1	4	B	1
6	12	5	A	-1
7	1	6	B	3
8	4	6	B	-1
9	18	7	A	-1
10	13	7	B	1
11	18	7	B	-1
12	7	8	A	1
13	6	9	A	2
14	7	9	A	1
15	9	12	A	1
16	3	12	B	-1
17	17	12	B	1
18	16	13	A	1
19	1	13	B	1
20	12	14	B	1
21	15	14	B	3
22	16	14	B	1
23	15	15	A	3
24	5	16	B	1
25	8	16	B	1
26	12	16	B	4
27	7	17	A	1
28	7	17	B	1
29	17	17	B	1
30	6	18	B	-1
31	1	19	A	-1
32	13	19	A	1
33	3	19	B	-1
34	4	19	B	-1
35	12	19	B	1
36	18	19	B	-1
37	7	20	A	3
38	14	20	B	1
39	17	20	B	2
