SSM_index	seg_index	subclone_ID
0	1	1
1	1	1
2	5	1
3	6	1
4	9	1
5	22	1
6	23	1
7	27	1
8	37	1
9	38	1
10	5	2
11	1	2
12	5	2
13	19	2
14	20	2
15	29	2
16	36	2
17	19	3
18	0	3
19	13	3
20	22	3
21	38	3
22	33	4
23	2	4
24	16	4
25	18	4
26	28	4
27	18	5
28	20	5
29	32	5
30	12	5
31	14	5
32	20	5
33	26	5
34	29	5
35	31	5
36	32	5
37	38	5
38	6	6
39	25	6
40	33	6
41	34	6
42	2	6
43	5	6
44	10	6
45	19	6
46	25	6
47	35	6
48	39	6
49	0	7
50	15	7
51	22	7
52	26	7
53	28	7
54	39	7
55	5	8
56	13	8
57	16	8
58	28	8
59	2	8
60	13	8
61	16	8
62	17	8
63	18	8
64	18	8
65	22	8
66	22	8
67	25	8
68	26	8
69	31	8
70	20	9
71	23	10
72	31	10
73	11	11
74	11	11
75	13	11
76	28	11
77	39	11
78	1	11
79	1	11
80	4	11
81	15	11
82	19	12
83	29	12
84	13	12
85	14	12
86	19	12
87	20	12
88	22	12
89	22	12
90	22	12
91	24	12
92	25	12
93	25	12
94	28	12
95	34	12
96	24	13
97	26	13
98	0	14
99	24	14
100	34	14
101	39	14
102	6	14
103	8	14
104	13	14
105	16	14
106	19	14
107	22	14
108	25	14
109	38	14
110	4	15
111	4	15
112	16	15
113	20	15
114	22	15
115	26	15
116	31	15
117	4	15
118	5	15
119	5	15
120	10	15
121	11	15
122	11	15
123	11	15
124	13	15
125	13	15
126	14	15
127	17	15
128	19	15
129	19	15
130	22	15
131	23	15
132	25	15
133	25	15
134	28	15
135	28	15
136	29	15
137	30	15
138	31	15
139	32	15
140	33	15
141	33	15
142	35	15
143	36	15
144	38	15
145	12	16
146	1	16
147	10	16
148	11	16
149	20	16
150	20	16
151	24	16
152	24	16
153	25	16
154	33	16
155	39	16
156	24	17
157	35	17
158	28	17
159	32	17
160	35	17
161	22	18
162	25	18
163	5	18
164	5	18
165	6	18
166	6	18
167	8	18
168	14	18
169	16	18
170	17	18
171	17	18
172	20	18
173	22	18
174	23	18
175	24	18
176	28	18
177	38	18
178	10	19
179	10	19
180	2	19
181	5	19
182	15	19
183	16	19
184	21	19
185	28	19
186	29	19
187	29	19
188	34	19
189	0	20
190	22	20
191	5	20
192	6	20
193	9	20
194	10	20
195	13	20
196	16	20
197	20	20
198	21	20
199	30	20
