CNA_index	seg_index	subclone_ID	phase	change
0	7	1	A	1
1	5	1	B	2
2	6	1	B	-1
3	8	1	B	2
4	0	2	B	1
5	2	3	A	1
6	6	3	A	1
7	7	3	B	-1
8	7	5	A	2
9	0	5	B	1
10	3	6	A	-1
11	5	6	A	-1
12	8	6	B	1
13	2	7	A	1
14	5	8	A	-1
15	3	8	B	1
16	9	8	B	1
17	5	9	B	1
18	3	10	B	1
19	5	10	B	1
20	1	11	A	-1
21	5	11	B	1
22	1	12	A	-1
23	6	12	A	1
24	3	12	B	2
25	5	12	B	1
26	8	12	B	1
27	2	13	B	-1
28	5	14	B	4
29	8	14	B	1
30	5	16	B	2
31	3	17	A	-1
32	1	17	B	-1
33	8	17	B	1
34	2	18	A	1
35	6	18	A	1
36	2	18	B	-1
37	9	18	B	1
38	1	19	A	-1
39	8	20	A	-1
