SSM_index	CNA_index
1	25
2	38
3	26
4	2
4	28
5	2
5	28
6	32
31	16
32	16
33	28
34	10
38	36
39	36
40	7
41	11
42	39
46	30
47	34
48	25
49	12
49	22
49	23
49	27
49	37
50	12
50	22
50	23
50	27
50	37
53	13
55	33
56	18
60	24
63	33
64	18
65	17
66	20
67	19
68	30
70	25
71	26
72	19
73	32
76	34
78	21
79	25
80	38
81	22
81	23
81	27
81	37
82	28
85	32
86	32
89	36
90	39
91	29
98	33
102	38
103	26
104	26
106	24
109	34
110	34
111	35
112	31
113	25
114	38
115	38
116	38
117	23
117	27
117	37
118	23
118	27
118	37
119	28
120	28
122	32
124	39
131	34
132	35
133	33
134	35
135	37
136	27
136	37
143	39
153	35
