SSM_index	CNA_index
0	5
1	30
2	7
2	27
2	38
3	19
4	1
4	9
4	11
5	3
6	3
7	14
9	23
14	33
15	20
15	36
19	30
20	35
22	6
22	28
23	6
23	28
24	37
25	37
26	17
27	17
28	26
28	29
29	30
30	30
31	30
32	30
33	30
34	18
34	32
35	7
35	27
35	38
36	7
36	27
36	38
37	12
38	24
38	25
39	24
39	25
40	31
41	21
42	21
43	21
44	9
44	11
45	9
45	11
46	14
47	14
51	35
52	35
53	23
54	23
55	23
58	10
64	33
67	39
72	13
74	18
75	7
75	38
79	38
80	12
82	15
84	23
90	39
91	20
97	24
98	39
100	38
102	24
103	24
105	20
108	18
110	38
114	23
115	23
116	23
126	39
134	26
160	33
184	38
