SSM_index	CNA_index
2	3
10	2
23	2
24	2
43	31
44	8
44	13
44	16
44	30
44	33
44	35
47	19
48	21
49	6
49	34
50	6
50	34
51	6
51	34
52	24
52	28
53	32
54	39
55	39
56	39
57	29
58	29
59	13
59	16
59	30
59	33
59	35
60	8
60	13
60	16
60	30
60	33
60	35
61	8
61	13
61	16
61	30
61	33
61	35
62	13
62	16
62	30
62	33
62	35
63	9
63	17
63	26
64	14
64	18
64	27
64	36
66	19
68	15
69	12
74	13
74	16
75	13
75	16
83	17
93	31
94	34
95	39
96	39
98	29
99	30
99	33
99	35
100	30
100	33
100	35
101	30
101	33
101	35
102	30
102	33
102	35
103	32
104	30
104	33
104	35
105	30
105	33
105	35
106	30
106	33
106	35
107	26
114	31
119	31
120	31
121	34
122	34
123	28
124	32
125	39
127	30
127	33
127	35
128	30
128	33
128	35
131	34
132	34
133	34
134	34
135	34
137	32
138	32
140	33
140	35
141	33
141	35
142	33
142	35
145	36
147	39
148	35
158	34
159	39
160	35
162	35
164	35
166	35
184	39
