CNA_index	seg_index	subclone_ID	phase	change
0	9	1	A	1
1	5	1	B	1
2	8	1	B	-1
3	10	1	B	3
4	5	2	B	1
5	6	2	B	2
6	9	2	B	2
7	9	3	B	1
8	7	5	A	-1
9	12	5	A	2
10	19	5	A	-1
11	10	5	B	1
12	13	5	B	1
13	15	6	A	1
14	1	7	A	1
15	1	7	B	1
16	15	7	B	3
17	1	8	B	1
18	2	8	B	1
19	9	9	A	2
20	5	10	A	-1
21	2	11	A	1
22	7	11	A	-1
23	9	11	B	1
24	13	11	B	1
25	16	13	A	-1
26	4	13	B	1
27	11	13	B	1
28	14	13	B	1
29	11	14	A	1
30	12	14	B	2
31	2	17	B	1
32	5	17	B	1
33	12	17	B	2
34	11	18	A	1
35	3	18	B	-1
36	12	18	B	1
37	0	20	A	1
38	5	20	A	-1
39	9	20	A	1
