SSM_index	CNA_index
0	6
0	16
1	4
1	9
1	19
2	4
2	9
2	19
4	11
5	13
6	13
7	8
10	18
11	2
14	11
18	7
18	15
19	7
19	15
20	17
27	18
28	18
29	18
30	3
31	13
32	7
32	15
34	18
35	18
36	18
37	2
38	2
40	7
40	15
41	7
41	15
42	12
43	3
44	4
44	9
44	19
46	5
47	8
48	18
49	18
54	11
55	10
58	12
59	12
60	18
61	18
63	6
63	16
64	6
64	16
65	6
65	16
66	4
66	9
66	19
68	11
70	5
71	5
72	5
73	5
75	13
76	13
77	7
77	15
78	17
84	12
85	18
86	18
87	18
88	18
89	18
90	18
91	18
92	18
97	11
98	18
99	17
100	18
101	6
101	16
102	9
102	19
103	9
103	19
105	14
106	14
107	11
108	11
109	11
110	11
111	11
112	11
113	11
114	11
124	7
124	15
125	8
126	8
127	8
128	8
129	8
138	12
139	18
140	18
141	18
142	18
143	18
144	18
145	18
146	18
147	18
151	13
164	19
172	18
175	18
176	19
