CNA_index	seg_index	subclone_ID	phase	change
0	6	2	B	2
1	13	2	B	1
2	8	3	A	1
3	16	3	A	1
4	19	3	A	-1
5	9	3	B	2
6	15	3	B	-1
7	16	3	B	3
8	0	5	B	-1
9	3	5	B	-1
10	12	5	B	1
11	9	7	A	-1
12	18	7	B	-1
13	1	8	A	-1
14	6	8	A	1
15	1	9	B	-1
16	6	9	B	1
17	15	9	B	-1
18	19	9	B	-1
19	4	10	A	1
20	9	10	A	-1
21	17	10	A	1
22	13	10	B	1
23	15	11	A	-1
24	3	11	B	-1
25	0	12	B	-1
26	2	13	A	-1
27	19	16	A	-1
28	4	16	B	1
29	4	17	A	1
30	9	17	B	1
31	16	17	B	1
32	2	18	B	1
33	16	18	B	1
34	8	19	A	1
35	8	19	B	2
36	10	19	B	-1
37	13	19	B	1
38	1	20	A	-1
39	9	20	A	-1
