CNA_index	seg_index	subclone_ID	phase	change
0	1	1	B	2
1	6	1	B	1
2	3	2	A	2
3	4	2	A	1
4	4	2	B	1
5	2	3	B	-1
6	0	4	A	-1
7	9	4	B	1
8	8	5	A	1
9	6	5	B	3
10	4	6	A	3
11	0	6	B	1
12	9	7	B	1
13	4	8	A	3
14	9	8	A	-1
15	2	9	A	1
16	8	9	A	1
17	2	9	B	-1
18	7	9	B	-1
19	4	10	A	2
20	8	10	B	1
21	9	11	A	-1
22	7	11	B	-1
23	1	12	A	-1
24	0	13	A	-1
25	0	13	B	2
26	6	14	A	-1
27	9	14	A	-1
28	6	16	B	1
29	6	17	A	-1
30	6	17	B	2
31	2	18	A	1
32	0	18	B	1
33	1	18	B	2
34	4	18	B	1
35	7	18	B	-1
36	9	18	B	1
37	9	19	A	-1
38	8	19	B	1
39	8	20	B	2
