CNA_index	seg_index	subclone_ID	phase	change
0	3	1	A	1
1	4	1	A	-1
2	3	2	A	3
3	9	2	A	2
4	7	3	A	-1
5	8	3	A	-1
6	7	3	B	-1
7	7	4	A	-1
8	9	4	A	1
9	6	4	B	1
10	9	5	A	2
11	9	6	A	1
12	0	7	A	2
13	5	7	A	2
14	1	8	A	1
15	2	8	A	-1
16	8	8	A	-1
17	0	8	B	2
18	1	9	A	1
19	3	9	A	1
20	1	10	A	1
21	3	10	A	1
22	5	10	A	1
23	4	11	A	-1
24	7	11	A	-1
25	7	11	B	-1
26	2	12	A	-1
27	1	13	A	1
28	5	13	A	1
29	9	13	B	2
30	5	14	A	1
31	1	15	A	1
32	3	15	A	1
33	4	15	B	-1
34	6	16	A	-1
35	7	16	A	-1
36	3	17	A	4
37	5	18	A	2
38	1	19	A	1
39	5	20	A	1
