CNA_index	seg_index	subclone_ID	phase	change
0	1	1	A	1
1	4	1	A	-1
2	1	2	B	1
3	9	2	B	-1
4	1	3	A	1
5	4	3	B	1
6	6	3	B	1
7	8	4	A	1
8	5	4	B	1
9	0	5	A	1
10	4	5	B	1
11	8	5	B	1
12	4	7	B	1
13	0	8	A	1
14	1	8	B	1
15	2	8	B	1
16	2	10	A	1
17	3	10	A	-1
18	7	10	A	-1
19	8	10	B	1
20	0	11	A	2
21	5	11	A	1
22	6	11	A	-1
23	1	11	B	1
24	6	11	B	1
25	2	12	A	1
26	4	12	A	-1
27	3	12	B	-1
28	8	12	B	1
29	8	13	A	2
30	6	13	B	1
31	7	15	B	-1
32	0	16	A	1
33	8	16	A	1
34	1	16	B	2
35	0	17	B	-1
36	1	17	B	1
37	6	18	B	2
38	6	19	A	-1
39	5	20	A	1
