CNA_index	seg_index	subclone_ID	phase	change
0	3	1	B	2
1	3	2	B	1
2	4	2	B	1
3	3	3	B	2
4	1	4	A	2
5	3	4	A	-1
6	6	4	A	1
7	6	4	B	1
8	4	5	A	1
9	6	5	A	1
10	3	6	A	-1
11	6	6	A	1
12	8	6	B	-1
13	4	8	A	1
14	8	8	A	-1
15	9	8	A	-1
16	6	8	B	2
17	7	8	B	1
18	6	9	B	1
19	5	12	A	1
20	5	12	B	1
21	7	13	A	2
22	3	13	B	1
23	5	14	B	2
24	8	15	A	-1
25	5	15	B	1
26	3	17	A	-1
27	6	17	A	1
28	3	17	B	1
29	8	17	B	-1
30	1	18	B	1
31	0	19	A	1
32	2	19	A	-1
33	4	19	A	1
34	6	19	A	1
35	3	19	B	2
36	4	19	B	1
37	5	19	B	1
38	1	20	B	1
39	2	20	B	-1
