CNA_index	seg_index	subclone_ID	phase	change
0	13	1	B	-1
1	16	2	B	-1
2	23	2	B	1
3	31	3	A	-1
4	29	3	B	1
5	30	4	A	-1
6	36	4	A	-1
7	38	4	A	1
8	2	4	B	-1
9	25	4	B	1
10	26	4	B	-1
11	32	5	A	-1
12	33	6	A	-1
13	36	6	B	1
14	0	8	A	1
15	21	8	B	1
16	30	8	B	-1
17	3	9	B	1
18	22	9	B	-1
19	39	9	B	1
20	1	11	A	1
21	3	11	A	-1
22	22	11	A	-1
23	23	11	A	-1
24	35	11	A	-1
25	21	11	B	1
26	28	12	A	1
27	16	13	A	-1
28	12	14	A	1
29	17	14	A	-1
30	38	14	B	-1
31	6	15	A	-1
32	12	15	B	-1
33	37	16	A	2
34	0	16	B	-1
35	33	16	B	-1
36	14	18	A	1
37	38	18	B	-1
38	1	19	B	-1
39	23	20	B	1
