CNA_index	seg_index	subclone_ID	phase	change
0	4	1	A	-1
1	8	1	A	-1
2	9	1	B	-1
3	6	2	A	-1
4	7	2	A	1
5	9	2	A	1
6	3	2	B	-1
7	9	3	A	1
8	9	5	A	1
9	5	5	B	-1
10	7	5	B	-1
11	9	6	A	2
12	2	6	B	-1
13	3	8	A	-1
14	9	8	A	4
15	0	8	B	-1
16	5	9	A	-1
17	0	10	A	-1
18	1	10	A	-1
19	2	10	A	-1
20	7	10	A	1
21	1	10	B	-1
22	0	11	A	-1
23	1	11	A	-1
24	2	12	A	-1
25	9	12	A	1
26	8	12	B	-1
27	0	13	A	-1
28	7	13	A	6
29	2	14	A	-1
30	7	14	A	1
31	6	14	B	-1
32	8	14	B	-1
33	7	15	A	2
34	1	16	A	-1
35	9	17	A	1
36	9	19	A	1
37	1	19	B	-1
38	9	20	A	1
39	4	20	B	-1
