CNA_index	seg_index	subclone_ID	phase	change
0	12	1	A	1
1	16	1	A	1
2	11	1	B	-1
3	18	2	B	1
4	4	3	A	1
5	11	3	A	1
6	16	3	A	2
7	18	3	A	1
8	17	3	B	1
9	12	4	A	2
10	14	4	A	-1
11	16	4	A	1
12	10	5	A	1
13	17	5	A	1
14	18	5	A	1
15	15	5	B	1
16	18	6	A	2
17	10	8	B	1
18	14	8	B	1
19	12	9	A	1
20	2	10	A	-1
21	4	10	A	1
22	18	10	A	2
23	8	11	B	1
24	5	12	A	1
25	7	12	A	-1
26	12	12	A	1
27	12	13	A	1
28	4	13	B	-1
29	9	14	A	1
30	8	16	A	-1
31	19	16	A	-1
32	0	17	A	-1
33	12	17	A	1
34	15	17	B	1
35	9	18	A	1
36	4	19	A	2
37	2	20	A	-1
38	9	20	A	1
39	14	20	A	-1
