CNA_index	seg_index	subclone_ID	phase	change
0	11	1	B	1
1	11	2	B	1
2	0	3	B	-1
3	10	3	B	1
4	21	3	B	1
5	28	3	B	1
6	32	3	B	3
7	39	4	A	1
8	4	4	B	1
9	12	4	B	1
10	26	4	B	-1
11	23	5	A	-1
12	33	5	A	1
13	36	5	A	1
14	11	5	B	1
15	12	5	B	1
16	30	5	B	1
17	11	7	B	1
18	12	7	B	2
19	1	8	B	1
20	19	8	B	-1
21	21	9	B	1
22	23	9	B	-1
23	21	11	B	1
24	26	12	A	-1
25	2	12	B	1
26	32	12	B	1
27	11	14	B	1
28	31	17	B	1
29	12	18	A	-1
30	5	18	B	1
31	18	18	B	1
32	25	18	B	2
33	35	18	B	1
34	11	19	B	1
35	26	19	B	-1
36	21	20	A	-1
37	3	20	B	1
38	31	20	B	3
39	34	20	B	-1
