CNA_index	seg_index	subclone_ID	phase	change
0	1	1	A	1
1	13	1	A	1
2	6	1	B	-1
3	14	2	A	1
4	4	3	B	1
5	8	4	A	-1
6	7	4	B	1
7	15	4	B	2
8	19	4	B	-1
9	18	5	A	-1
10	19	6	A	1
11	15	6	B	1
12	2	8	A	-1
13	17	8	A	-1
14	8	9	B	1
15	15	10	A	1
16	14	11	A	1
17	1	13	A	1
18	14	13	A	2
19	13	13	B	-1
20	14	13	B	1
21	9	14	B	2
22	9	15	A	-1
23	10	15	A	-1
24	13	15	B	-1
25	14	15	B	2
26	17	15	B	-1
27	12	16	A	-1
28	15	16	A	1
29	13	16	B	-1
30	14	16	B	1
31	5	17	A	1
32	13	17	A	1
33	9	17	B	1
34	0	18	B	-1
35	14	18	B	1
36	5	19	A	1
37	9	19	A	-1
38	13	20	A	1
39	14	20	A	1
