CNA_index	seg_index	subclone_ID	phase	change
0	2	1	B	1
1	5	1	B	1
2	0	2	A	-1
3	6	3	B	-1
4	8	3	B	1
5	5	4	A	1
6	7	4	A	-1
7	0	4	B	1
8	2	4	B	1
9	5	5	A	1
10	1	6	B	-1
11	2	6	B	3
12	4	6	B	1
13	5	6	B	1
14	9	6	B	3
15	2	7	B	1
16	5	8	B	1
17	7	8	B	-1
18	2	9	B	1
19	1	10	A	-1
20	4	10	A	1
21	5	10	B	1
22	0	11	B	3
23	5	12	A	2
24	4	12	B	1
25	9	12	B	1
26	1	13	A	-1
27	2	13	A	3
28	5	14	B	1
29	1	15	B	-1
30	5	16	A	1
31	2	16	B	1
32	2	17	A	1
33	5	17	A	2
34	6	17	A	1
35	7	17	B	-1
36	5	19	A	1
37	5	19	B	1
38	3	20	B	-1
39	5	20	B	1
