CNA_index	seg_index	subclone_ID	phase	change
0	17	2	A	1
1	0	3	A	1
2	17	3	B	2
3	0	4	A	1
4	16	4	A	-1
5	18	4	A	-1
6	0	4	B	1
7	10	4	B	1
8	19	4	B	1
9	2	5	A	-1
10	12	5	A	-1
11	0	6	B	1
12	9	6	B	-1
13	4	10	B	1
14	19	10	B	3
15	10	11	A	2
16	18	12	A	-1
17	9	13	B	-1
18	19	13	B	1
19	4	14	A	-1
20	9	15	A	-1
21	13	15	B	-1
22	3	16	A	-1
23	2	17	A	-1
24	9	17	A	-1
25	12	17	A	-1
26	13	17	A	-1
27	18	17	A	-1
28	3	17	B	1
29	7	18	A	2
30	2	18	B	-1
31	4	18	B	2
32	17	18	B	1
33	0	19	A	1
34	10	19	A	1
35	1	19	B	-1
36	6	20	A	2
37	10	20	A	3
38	18	20	A	-1
39	19	20	A	-1
