SSM_index	CNA_index
0	32
1	0
2	6
3	3
3	4
3	7
3	11
4	13
7	36
8	36
9	13
11	15
12	15
23	9
23	17
23	37
24	12
24	34
26	35
27	35
28	31
29	31
30	31
31	17
31	37
32	17
32	37
33	10
33	16
33	33
33	38
34	39
35	35
36	35
37	36
43	31
45	17
45	37
46	34
47	39
54	35
56	17
56	37
58	21
59	21
61	25
62	25
64	22
64	28
65	26
66	26
67	19
69	29
77	24
78	24
79	24
81	27
82	27
83	27
85	30
86	30
92	25
95	22
95	28
96	26
97	26
98	26
99	26
100	23
101	20
101	23
102	29
103	29
104	29
109	24
110	24
111	24
112	24
114	27
115	27
120	30
121	27
129	28
130	28
143	32
144	37
149	37
150	38
151	38
152	33
152	38
153	38
154	34
158	39
159	39
160	35
167	36
170	38
179	37
