CNA_index	seg_index	subclone_ID	phase	change
0	1	1	A	1
1	4	3	A	1
2	8	3	A	1
3	9	3	A	-1
4	2	4	A	-1
5	0	4	B	1
6	3	4	B	1
7	7	4	B	-1
8	1	5	A	3
9	0	6	A	-1
10	1	6	A	2
11	0	6	B	1
12	6	7	A	-1
13	4	7	B	-1
14	5	8	B	1
15	8	9	B	-1
16	0	10	B	1
17	3	10	B	1
18	9	10	B	-1
19	1	11	B	-1
20	6	11	B	-1
21	3	13	A	-1
22	9	13	A	-1
23	3	13	B	1
24	4	13	B	-1
25	0	15	B	2
26	3	15	B	1
27	9	15	B	-1
28	4	16	A	1
29	4	17	A	1
30	0	17	B	1
31	2	17	B	-1
32	3	17	B	1
33	3	18	A	-1
34	5	18	A	-1
35	6	18	B	-1
36	2	19	B	-1
37	6	19	B	-1
38	3	20	B	2
39	8	20	B	-1
