CNA_index	seg_index	subclone_ID	phase	change
0	25	1	A	1
1	30	1	A	2
2	22	1	B	-1
3	30	2	A	2
4	10	2	B	-1
5	16	2	B	-1
6	11	3	B	-1
7	23	3	B	1
8	26	4	B	1
9	14	5	A	-1
10	30	5	B	-1
11	38	5	B	-1
12	26	6	A	3
13	6	6	B	-1
14	24	6	B	1
15	13	7	A	3
16	11	7	B	-1
17	34	7	B	2
18	39	7	B	2
19	1	8	A	-1
20	17	8	A	1
21	28	8	A	-1
22	36	9	A	-1
23	7	10	B	1
24	18	11	B	-1
25	23	12	A	-1
26	25	12	A	1
27	38	12	B	-1
28	10	13	B	-1
29	39	13	B	2
30	18	16	B	-1
31	25	16	B	2
32	11	17	A	-1
33	29	17	A	-1
34	21	17	B	3
35	31	17	B	-1
36	36	17	B	-1
37	25	19	A	1
38	30	19	B	-1
39	9	20	B	-1
