CNA_index	seg_index	subclone_ID	phase	change
0	13	1	A	-1
1	20	1	A	1
2	22	1	A	-1
3	36	1	A	-1
4	4	1	B	-1
5	8	1	B	1
6	20	2	B	-1
7	5	3	B	1
8	10	3	B	-1
9	12	3	B	2
10	29	3	B	1
11	26	5	A	1
12	6	5	B	1
13	9	6	A	-1
14	0	6	B	-1
15	31	7	B	2
16	26	8	B	1
17	15	9	A	-1
18	6	11	B	2
19	19	11	B	-1
20	18	12	A	-1
21	37	12	A	1
22	9	12	B	1
23	28	12	B	-1
24	36	12	B	-1
25	37	12	B	-1
26	5	14	B	1
27	6	15	B	1
28	8	15	B	2
29	25	15	B	-1
30	0	16	B	-1
31	2	16	B	-1
32	5	16	B	1
33	9	17	A	-1
34	25	17	B	-1
35	34	17	B	-1
36	5	18	A	1
37	7	18	A	-1
38	22	18	B	-1
39	17	19	B	-1
