CNA_index	seg_index	subclone_ID	phase	change
0	16	1	A	-1
1	15	2	B	-1
2	18	3	A	-1
3	0	4	A	-1
4	3	4	A	1
5	5	4	A	-1
6	14	5	B	1
7	19	5	B	-1
8	2	6	A	-1
9	14	6	A	-1
10	11	7	A	-1
11	3	7	B	-1
12	5	7	B	-1
13	18	7	B	-1
14	7	8	B	-1
15	8	9	A	-1
16	9	9	A	1
17	17	9	A	-1
18	10	9	B	-1
19	13	9	B	1
20	10	11	A	-1
21	4	13	A	1
22	8	13	A	-1
23	11	13	A	-1
24	12	13	A	-1
25	19	13	A	-1
26	8	13	B	-1
27	16	13	B	-1
28	12	15	A	-1
29	0	15	B	-1
30	5	15	B	-1
31	9	15	B	2
32	7	16	A	-1
33	12	18	A	-1
34	15	18	A	-1
35	7	19	B	-1
36	11	20	A	-1
37	15	20	A	-1
38	4	20	B	-1
39	9	20	B	2
