CNA_index	seg_index	subclone_ID	phase	change
0	33	1	B	1
1	6	2	B	1
2	1	3	A	-1
3	35	3	A	-1
4	1	3	B	-1
5	30	3	B	-1
6	3	4	B	2
7	17	4	B	-1
8	2	5	B	2
9	32	5	B	-1
10	36	5	B	-1
11	16	6	A	-1
12	20	6	A	5
13	22	6	A	-1
14	33	6	A	-1
15	27	7	A	1
16	25	7	B	-1
17	27	7	B	-1
18	36	7	B	-1
19	18	8	A	1
20	2	9	A	-1
21	0	9	B	-1
22	36	9	B	-1
23	30	10	B	-1
24	33	10	B	2
25	2	11	A	-1
26	3	11	B	1
27	30	12	A	-1
28	4	12	B	1
29	31	12	B	1
30	22	13	A	-1
31	7	13	B	-1
32	14	14	A	-1
33	24	14	B	2
34	27	15	B	-1
35	10	16	A	-1
36	23	16	B	2
37	1	18	B	-1
38	7	19	A	2
39	10	20	B	-1
