CNA_index	seg_index	subclone_ID	phase	change
0	1	1	A	-1
1	5	1	A	1
2	5	2	A	2
3	4	3	A	1
4	5	4	A	1
5	7	7	A	1
6	0	7	B	-1
7	8	7	B	-1
8	2	8	A	-1
9	6	8	A	-1
10	4	8	B	-1
11	9	10	A	2
12	0	10	B	-1
13	7	10	B	-1
14	3	11	A	-1
15	5	11	A	1
16	7	11	A	1
17	9	11	A	1
18	2	11	B	-1
19	5	11	B	-1
20	5	12	A	1
21	5	13	A	1
22	8	13	A	-1
23	5	14	B	-1
24	3	15	A	-1
25	4	15	A	2
26	4	15	B	-1
27	6	15	B	-1
28	7	16	A	2
29	2	17	A	-1
30	0	18	A	1
31	6	18	B	-1
32	3	19	A	-1
33	4	19	A	2
34	8	19	A	-1
35	4	19	B	-1
36	8	19	B	-1
37	9	19	B	-1
38	5	20	A	2
39	5	20	B	-1
