SSM_index	CNA_index
0	10
1	23
2	23
3	21
4	21
6	1
6	33
6	38
7	7
7	14
8	25
8	28
9	26
10	4
10	11
10	20
10	31
10	36
11	4
11	11
11	20
11	31
11	36
12	4
12	11
12	20
12	31
12	36
13	4
13	11
13	20
13	31
13	36
14	4
14	11
14	20
14	31
14	36
15	5
16	8
17	15
17	34
18	18
19	16
19	22
19	29
20	16
20	22
20	29
21	16
21	22
21	29
22	16
22	22
22	29
23	16
23	22
23	29
24	9
24	17
25	2
25	6
25	13
25	27
26	2
26	6
26	13
26	27
27	10
28	21
30	33
30	38
31	11
31	20
31	31
31	36
32	15
32	34
33	15
33	34
34	15
34	34
35	18
36	18
37	12
37	39
38	16
38	22
38	29
39	16
39	22
39	29
40	16
40	22
40	29
41	16
41	22
41	29
42	16
42	22
42	29
43	16
43	22
43	29
44	6
44	13
44	27
45	6
45	13
45	27
46	6
46	13
46	27
47	19
48	12
49	10
52	11
52	20
53	15
54	18
55	18
56	13
56	27
57	13
57	27
58	19
64	16
64	22
66	20
68	18
69	16
69	22
70	16
70	22
71	22
72	16
72	22
73	27
74	27
75	19
79	20
80	20
83	22
84	22
85	27
86	23
87	26
93	22
94	27
97	24
98	26
105	22
106	22
107	22
108	22
109	27
120	27
121	31
121	36
124	32
124	35
124	37
125	33
125	38
126	36
127	36
128	34
134	36
141	32
141	35
141	37
142	38
143	38
144	38
145	36
146	36
150	39
151	39
152	39
157	38
162	36
166	39
167	39
174	37
