CNA_index	seg_index	subclone_ID	phase	change
0	31	1	A	-1
1	23	1	B	1
2	36	2	B	1
3	18	3	B	1
4	24	3	B	1
5	28	3	B	-1
6	11	4	B	-1
7	18	4	B	1
8	24	4	B	1
9	1	5	A	1
10	36	5	A	1
11	4	6	B	2
12	6	6	B	-1
13	39	7	B	1
14	14	8	A	1
15	16	8	A	1
16	1	9	A	1
17	17	9	B	1
18	18	9	B	1
19	37	9	B	1
20	5	10	A	2
21	27	10	B	-1
22	17	13	A	1
23	29	13	A	-1
24	16	14	A	2
25	0	14	B	2
26	3	14	B	1
27	15	14	B	-1
28	17	14	B	1
29	34	15	A	-1
30	10	15	B	-1
31	17	15	B	1
32	37	16	B	1
33	17	17	A	3
34	20	18	B	-1
35	28	18	B	-1
36	23	19	A	1
37	33	19	B	2
38	38	19	B	-1
39	0	20	A	1
