SSM_index	CNA_index
1	9
3	10
3	20
4	12
6	17
7	17
8	7
9	21
9	36
10	38
11	14
11	39
12	3
13	5
13	8
13	16
13	24
14	18
14	37
15	32
17	11
18	17
19	11
20	31
21	27
22	10
22	20
23	17
33	34
34	28
35	28
40	10
40	20
41	10
41	20
46	12
47	12
48	12
49	13
49	35
50	13
50	35
54	17
55	17
56	21
56	36
57	21
57	36
58	38
59	15
63	23
64	23
65	23
66	25
68	26
68	30
72	27
73	23
79	21
79	36
80	11
81	15
82	15
83	23
92	17
93	17
94	22
95	15
96	15
97	15
98	23
99	23
100	18
110	27
118	12
120	17
121	21
122	21
123	21
127	23
128	23
129	16
129	24
130	16
130	24
131	19
133	21
134	22
137	24
143	21
152	34
167	33
