CNA_index	seg_index	subclone_ID	phase	change
0	1	1	A	3
1	3	1	A	-1
2	6	1	A	-1
3	0	1	B	1
4	5	1	B	1
5	6	1	B	-1
6	0	2	B	1
7	3	3	A	-1
8	8	3	A	2
9	4	6	A	-1
10	4	6	B	1
11	8	6	B	1
12	1	7	B	-1
13	4	7	B	3
14	6	7	B	-1
15	5	8	A	1
16	0	8	B	1
17	2	8	B	-1
18	7	8	B	-1
19	0	10	B	1
20	2	12	A	-1
21	4	12	A	-1
22	6	12	B	-1
23	9	12	B	-1
24	1	13	B	-1
25	2	13	B	-1
26	6	14	A	-1
27	0	14	B	1
28	4	14	B	1
29	5	15	A	3
30	0	15	B	1
31	8	15	B	3
32	1	16	A	1
33	5	17	B	1
34	7	18	B	-1
35	8	18	B	4
36	0	20	A	-1
37	4	20	A	-1
38	7	20	A	-1
39	8	20	B	1
