SSM_index	CNA_index
0	13
1	13
2	9
2	14
3	0
3	1
3	2
3	18
4	5
4	16
34	2
44	15
45	18
46	8
46	10
47	9
47	14
48	9
48	14
49	11
50	11
51	15
52	6
53	6
54	6
55	18
57	8
57	10
62	13
63	9
63	14
66	15
67	15
68	15
69	12
69	19
70	12
70	19
71	12
71	19
72	6
73	6
74	18
75	18
76	18
79	8
79	10
80	8
80	10
81	8
81	10
84	5
84	16
93	8
101	9
102	9
103	9
113	6
114	6
117	8
118	8
119	8
128	9
141	13
142	13
143	11
144	11
145	15
146	15
147	15
148	15
149	12
149	19
150	18
154	16
155	17
156	14
157	11
159	15
164	13
165	13
168	16
169	16
172	19
177	18
178	18
190	18
