CNA_index	seg_index	subclone_ID	phase	change
0	9	1	A	-1
1	19	1	A	-1
2	1	1	B	-1
3	15	1	B	-1
4	19	1	B	-1
5	17	2	A	2
6	18	2	A	1
7	1	3	A	-1
8	17	3	B	1
9	3	6	A	-1
10	10	7	A	1
11	13	7	A	-1
12	2	9	A	1
13	2	9	B	1
14	8	9	B	1
15	16	9	B	2
16	4	10	A	-1
17	14	10	A	1
18	9	10	B	-1
19	16	11	A	3
20	3	12	A	-1
21	17	12	A	1
22	4	12	B	-1
23	17	12	B	1
24	17	13	B	1
25	2	14	B	1
26	3	16	A	-1
27	2	16	B	1
28	5	16	B	-1
29	13	16	B	1
30	12	17	A	-1
31	16	17	A	2
32	17	17	A	1
33	13	17	B	1
34	13	18	A	-1
35	3	18	B	1
36	7	18	B	1
37	4	19	B	-1
38	16	20	A	1
39	4	20	B	-1
