CNA_index	seg_index	subclone_ID	phase	change
0	16	1	A	2
1	17	1	A	1
2	4	1	B	-1
3	11	1	B	1
4	4	3	A	1
5	5	3	A	2
6	15	3	A	1
7	6	3	B	1
8	7	3	B	1
9	18	5	A	1
10	8	5	B	1
11	11	6	A	2
12	4	8	A	1
13	6	8	A	-1
14	12	8	B	1
15	9	9	A	1
16	11	9	B	1
17	17	10	A	1
18	9	10	B	2
19	12	11	A	-1
20	8	11	B	2
21	10	12	A	1
22	11	12	A	1
23	10	12	B	-1
24	11	13	A	1
25	19	14	A	1
26	15	14	B	-1
27	3	16	A	1
28	4	16	A	1
29	14	17	A	1
30	11	17	B	1
31	12	17	B	1
32	5	18	A	1
33	6	18	A	-1
34	17	18	A	1
35	1	18	B	2
36	8	18	B	1
37	12	19	A	-1
38	4	20	A	1
39	13	20	A	1
