CNA_index	seg_index	subclone_ID	phase	change
0	3	1	A	-1
1	7	1	B	1
2	9	1	B	1
3	13	2	A	1
4	13	3	A	2
5	19	3	B	-1
6	1	4	A	1
7	12	4	B	1
8	0	5	B	1
9	18	5	B	1
10	11	6	A	1
11	16	6	A	1
12	11	6	B	3
13	12	6	B	1
14	12	7	A	-1
15	19	8	A	1
16	10	8	B	-1
17	11	8	B	1
18	5	9	A	1
19	7	9	A	-1
20	11	9	A	1
21	18	9	A	1
22	19	9	A	1
23	4	9	B	-1
24	5	9	B	1
25	14	12	A	-1
26	16	12	A	1
27	6	12	B	-1
28	6	13	A	-1
29	10	14	A	1
30	16	15	A	2
31	7	16	A	-1
32	7	16	B	1
33	5	18	A	1
34	9	18	A	-1
35	0	19	A	1
36	14	20	A	-1
37	1	20	B	1
38	11	20	B	1
39	15	20	B	-1
