CNA_index	seg_index	subclone_ID	phase	change
0	2	2	A	-1
1	23	2	B	-1
2	31	2	B	1
3	5	3	B	1
4	9	4	A	-1
5	38	4	A	1
6	1	4	B	1
7	25	4	B	1
8	7	6	A	1
9	36	6	B	-1
10	21	8	A	-1
11	31	8	A	-1
12	31	9	B	2
13	8	10	A	1
14	7	10	B	-1
15	25	10	B	1
16	36	10	B	-1
17	39	10	B	1
18	30	11	A	1
19	2	11	B	-1
20	30	11	B	1
21	37	11	B	-1
22	22	12	A	-1
23	38	13	B	1
24	13	14	A	-1
25	17	14	A	-1
26	8	14	B	-1
27	5	16	B	1
28	16	16	B	-1
29	31	16	B	1
30	34	16	B	-1
31	38	16	B	1
32	38	17	A	2
33	21	17	B	1
34	29	17	B	1
35	2	20	A	-1
36	30	20	A	1
37	4	20	B	1
38	7	20	B	-1
39	37	20	B	-1
