CNA_index	seg_index	subclone_ID	phase	change
0	2	1	A	-1
1	2	1	B	3
2	4	1	B	-1
3	0	2	A	-1
4	2	3	B	3
5	5	4	A	2
6	0	4	B	-1
7	4	4	B	-1
8	6	5	A	1
9	2	5	B	1
10	6	5	B	2
11	3	6	A	-1
12	5	6	A	2
13	8	6	A	2
14	9	6	A	-1
15	9	6	B	2
16	3	7	B	-1
17	0	8	A	-1
18	5	8	A	1
19	7	8	A	3
20	5	8	B	1
21	7	9	B	-1
22	4	10	A	-1
23	3	12	A	-1
24	6	12	B	1
25	9	12	B	1
26	2	15	B	2
27	3	15	B	-1
28	8	15	B	1
29	0	16	B	-1
30	4	16	B	-1
31	7	16	B	-1
32	0	17	A	-1
33	3	17	A	-1
34	4	17	A	-1
35	0	19	A	-1
36	9	19	A	-1
37	0	19	B	-1
38	6	20	A	1
39	2	20	B	1
