CNA_index	seg_index	subclone_ID	phase	change
0	4	1	B	1
1	9	1	B	-1
2	2	2	B	1
3	3	2	B	-1
4	8	2	B	1
5	4	3	B	2
6	4	5	A	-1
7	8	5	A	-1
8	2	6	A	2
9	1	7	B	1
10	4	7	B	1
11	5	8	A	1
12	1	8	B	1
13	5	8	B	1
14	9	8	B	-1
15	4	9	A	-1
16	2	9	B	1
17	1	10	B	1
18	2	10	B	1
19	5	10	B	2
20	1	11	A	1
21	0	11	B	1
22	3	11	B	-1
23	5	11	B	3
24	0	12	A	-1
25	8	12	A	-1
26	0	12	B	1
27	5	13	A	1
28	2	13	B	1
29	5	13	B	1
30	9	13	B	-1
31	3	15	A	-1
32	4	15	B	1
33	5	15	B	1
34	8	16	B	1
35	2	17	A	1
36	5	18	A	1
37	0	18	B	2
38	6	19	A	1
39	8	20	B	2
