SSM_index	seg_index	subclone_ID
0	27	1
1	35	1
2	27	2
3	32	2
4	36	2
5	3	3
6	2	4
7	12	4
8	18	4
9	24	4
10	26	4
11	35	4
12	2	4
13	5	4
14	5	4
15	6	4
16	12	4
17	12	4
18	13	4
19	23	4
20	24	4
21	35	4
22	37	4
23	15	5
24	18	5
25	22	5
26	24	5
27	36	5
28	2	5
29	9	5
30	12	5
31	21	5
32	34	5
33	38	5
34	23	6
35	26	6
36	2	6
37	3	6
38	18	6
39	25	6
40	32	6
41	12	7
42	13	7
43	23	7
44	33	7
45	33	7
46	0	7
47	0	7
48	0	7
49	0	7
50	10	7
51	12	7
52	12	7
53	13	7
54	19	7
55	24	7
56	39	7
57	20	8
58	15	8
59	20	8
60	21	8
61	22	8
62	29	8
63	3	9
64	3	9
65	5	9
66	7	9
67	10	9
68	11	9
69	12	9
70	17	9
71	22	9
72	23	9
73	23	9
74	23	9
75	24	9
76	25	9
77	25	9
78	25	9
79	25	9
80	29	9
81	30	9
82	35	9
83	37	9
84	38	9
85	0	9
86	0	9
87	3	9
88	3	9
89	3	9
90	9	9
91	10	9
92	12	9
93	16	9
94	17	9
95	18	9
96	20	9
97	22	9
98	23	9
99	23	9
100	23	9
101	24	9
102	24	9
103	25	9
104	28	9
105	28	9
106	28	9
107	29	9
108	32	9
109	33	9
110	33	9
111	33	9
112	35	9
113	36	9
114	36	9
115	37	9
116	38	9
117	38	9
118	38	9
119	23	10
120	13	11
121	23	11
122	25	11
123	28	11
124	28	11
125	10	12
126	12	12
127	2	12
128	3	12
129	3	12
130	9	12
131	12	12
132	14	12
133	21	12
134	22	12
135	26	12
136	31	12
137	33	12
138	3	13
139	14	13
140	14	13
141	3	13
142	20	13
143	29	13
144	33	13
145	36	13
146	36	13
147	37	13
148	39	13
149	15	14
150	15	14
151	20	14
152	31	14
153	5	14
154	14	14
155	20	14
156	26	14
157	33	14
158	2	15
159	9	15
160	25	15
161	0	16
162	5	17
163	11	17
164	28	17
165	32	17
166	35	17
167	14	17
168	16	17
169	19	17
170	20	17
171	22	17
172	28	17
173	33	17
174	34	17
175	12	18
176	13	18
177	13	18
178	23	18
179	24	18
180	38	18
181	13	18
182	13	18
183	23	18
184	32	18
185	38	18
186	2	19
187	16	19
188	32	19
189	35	19
190	0	20
191	13	20
192	13	20
193	15	20
194	38	20
195	23	20
196	26	20
197	26	20
198	30	20
199	38	20
