SSM_index	CNA_index
0	4
1	5
2	38
3	28
4	22
5	39
7	4
8	10
9	34
10	25
11	25
13	26
14	10
15	38
16	22
17	22
20	18
20	36
21	34
23	38
29	22
30	11
31	29
32	39
33	30
33	35
35	23
37	20
38	20
39	20
40	23
62	24
66	18
66	36
67	34
68	26
69	26
70	27
70	37
72	28
73	22
74	22
75	29
76	29
77	29
81	30
81	35
82	30
82	35
84	24
85	24
87	34
88	34
94	22
95	22
96	39
99	23
100	23
101	23
104	20
111	34
112	25
113	27
113	37
114	27
114	37
115	38
116	22
118	34
119	25
120	38
131	26
143	33
145	39
146	39
147	39
160	34
161	34
172	35
178	36
179	36
181	38
195	36
