SSM_index	CNA_index
0	12
0	14
1	7
2	7
3	2
3	4
4	1
5	1
6	1
11	10
14	11
16	7
17	7
18	2
18	4
19	3
20	3
21	8
22	1
23	1
24	1
25	9
27	18
28	10
30	11
31	11
34	13
34	15
35	6
36	6
37	12
37	14
38	12
38	14
39	12
39	14
40	7
41	2
41	4
42	2
42	4
43	2
43	4
44	8
45	9
48	5
49	16
52	15
53	15
54	15
56	14
57	14
60	2
61	2
64	16
65	16
74	3
104	12
105	11
107	13
108	13
109	13
110	13
111	13
112	6
113	6
114	7
115	8
118	11
120	11
121	11
122	11
123	13
124	13
125	12
134	13
135	13
136	13
137	13
138	13
139	13
140	13
165	15
169	17
